2015-02-04,Bankrate,RATE,12.87,13.1,12.78,12.94
2015-02-04,BankUnited,BKU,29.25,29.72,29.23,29.44
2015-02-04,Barclays ADS,BCS,14.95,15.21,14.95,15.04
2015-02-04,Barnes Group,B,36.13,36.2,34.99,35.21
2015-02-04,Barnes&Noble,BKS,24.29,24.63,24.28,24.42
2015-02-04,Barracuda Networks,CUDA,33.3,34.36,33.03,33.13
2015-02-04,Barrick Gold,ABX,12.76,13.06,12.72,12.91
2015-02-04,Basic Energy Services,BAS,6.7,6.83,6.29,6.64
2015-02-04,Baxter International,BAX,70.06,70.74,69.9,70.07
2015-02-04,Baytex Energy,BTE,18.45,19.16,17.7,18.2
2015-02-04,BB&T,BBT,36.42,36.67,36.3,36.37
2015-02-04,BBVA Banco Frances ADS,BFR,14.47,14.96,14.47,14.75
2015-02-04,BBX Capital Cl A,BBX,14.16,14.48,14,14.06
2015-02-04,BCE,BCE,46.42,47.01,46.36,46.81
2015-02-04,Beazer Homes USA,BZH,14.55,15.95,14.41,15.62
2015-02-04,Beazer Homes USA Inc. 7.50% Tangible Equity Un,BZT,23.59,24.62,23.57,24.62
2015-02-04,Becton Dickinson,BDX,140.64,141.12,139.1,139.92
2015-02-04,Belden,BDC,84.65,85.46,84.16,85.04
2015-02-04,Bellatrix Exploration,BXE,2.35,2.35,2.08,2.17
2015-02-04,Belmond,BEL,11.4,11.49,11.16,11.19
2015-02-04,Bemis,BMS,45.2,46.44,44.96,46.05
2015-02-04,Benchmark Electronics,BHE,22.91,22.92,22.32,22.51
2015-02-04,Berkshire Hathaway Cl A,BRKA,222000,222754,220815,221026.88
2015-02-04,Berkshire Hathaway Cl B,BRKB,148.26,148.5,147.1,147.53
2015-02-04,Berkshire Hills Bancorp,BHLB,25.7,25.93,25.49,25.57
2015-02-04,Berry Plastics Group,BERY,33.8,34.93,33.76,34.75
2015-02-04,Best Buy,BBY,35.66,36.41,35.66,36.21
2015-02-04,B&G Foods,BGS,30.67,30.89,30.35,30.56
2015-02-04,BHP Billiton ADS,BBL,46.37,46.73,46.12,46.32
2015-02-04,BHP Billiton ADS,BHP,48.85,49.23,48.6,48.81
2015-02-04,Biglari Holdings,BH,415.98,424.38,412.04,413.15
2015-02-04,Big Lots,BIG,46.79,47.75,46.7,47.48
2015-02-04,Bill Barrett,BBG,11.91,12.01,11.19,11.6
2015-02-04,BioAmber,BIOA,8.98,9.08,8.74,8.81
2015-02-04,BioAmber WT,BIOA%,1.63,1.63,1.63,1.63
2015-02-04,BioMed Realty Trust,BMR,24.14,24.23,23.89,24.08
2015-02-04,Bio-Rad Laboratories Cl A,BIO,116.68,118.21,116.49,116.81
2015-02-04,Bio-Rad Laboratories Cl B,BIOB,117.15,117.15,117.15,117.15
2015-02-04,Bitauto Holdings ADS,BITA,58.51,59.37,57.77,58.06
